1548715095.299927	0.000000	0.000000	0.000000	1.000000	-0.000000	0.000000	0.000000
1548715095.312245	0.008453	-0.000490	0.002028	0.999998	-0.000056	0.001400	-0.001265
1548715095.325019	0.015655	-0.000361	0.002874	0.999995	-0.000323	0.002060	-0.002496
1548715095.342978	0.025154	-0.000140	0.004331	0.999991	-0.000535	0.002402	-0.003511
1548715095.361842	0.163406	-0.003518	0.032736	0.999838	0.001000	0.014307	-0.010901
1548715095.377617	0.174441	-0.006338	0.035952	0.999866	0.000932	0.013282	-0.009560
1548715095.392508	0.184212	-0.006499	0.038463	0.999885	0.001047	0.012506	-0.008503
1548715095.415011	0.194198	-0.007701	0.039681	0.999907	0.001623	0.011697	-0.006749
1548715095.425895	0.203083	-0.009677	0.041107	0.999919	0.001575	0.011579	-0.005110
1548715095.444326	0.214831	-0.009795	0.042854	0.999923	0.001425	0.011786	-0.003609
1548715095.458900	0.225453	-0.011001	0.045319	0.999926	0.001024	0.011984	-0.001986
1548715095.475566	0.236568	-0.011233	0.047598	0.999927	0.000693	0.012024	-0.000414
1548715095.493469	0.246430	-0.012312	0.050118	0.999925	-0.000123	0.012150	0.001239
1548715095.509123	0.256802	-0.013432	0.052277	0.999912	-0.000567	0.012894	0.002965
1548715095.527446	0.267507	-0.014441	0.055011	0.999898	-0.001357	0.013554	0.004332
1548715095.542097	0.279427	-0.014909	0.058671	0.999889	-0.001740	0.013546	0.006031
1548715095.559800	0.290158	-0.015090	0.060873	0.999872	-0.001964	0.014001	0.007434
1548715095.575605	0.299475	-0.017264	0.062790	0.999845	-0.002368	0.014912	0.009021
1548715095.592267	0.309381	-0.019202	0.064726	0.999818	-0.002784	0.015748	0.010402
1548715095.610398	0.322094	-0.019346	0.066758	0.999791	-0.003051	0.016670	0.011450
1548715095.627365	0.334608	-0.018987	0.070883	0.999755	-0.003582	0.018154	0.012184
1548715095.642576	0.345372	-0.019406	0.072525	0.999728	-0.004124	0.018759	0.013203
1548715095.658854	0.357189	-0.019303	0.074754	0.999704	-0.005066	0.019304	0.013940
1548715095.675246	0.368762	-0.019331	0.076481	0.999675	-0.005845	0.019835	0.014879
1548715095.693660	0.380972	-0.019064	0.079282	0.999629	-0.006200	0.021493	0.015523
1548715095.709426	0.394037	-0.018348	0.082370	0.999601	-0.006169	0.022375	0.016096
1548715095.725234	0.406403	-0.018039	0.084868	0.999594	-0.006054	0.022324	0.016656
1548715095.743421	0.418110	-0.017766	0.087241	0.999586	-0.006176	0.022268	0.017119
1548715095.758810	0.428517	-0.018056	0.089040	0.999568	-0.006462	0.022537	0.017699
1548715095.777629	0.440211	-0.018328	0.090961	0.999519	-0.007038	0.024060	0.018276
