# X	Y	Z
28.1761	-8.89087	4.34125
24.9499	-8.56889	3.64698
24.0495	-8.86453	3.3088
23.2631	-7.19366	2.99139
23.2717	-7.60527	2.96658
22.451	-7.8883	2.75864
10.7274	-3.51911	1.21177
18.3693	-7.70569	0.949488
18.2006	-7.1653	0.726019
18.1459	-5.97878	0.73613
18.6518	-7.61981	0.714796
18.2784	-5.97045	0.705397
18.0918	-7.07666	0.6778
18.4018	-6.71327	0.690408
18.2757	-6.21432	0.672813
18.2845	-5.53824	0.678157
18.287	-5.95748	0.655818
18.2018	-5.44901	0.662248
18.2733	-6.19701	0.639907
18.3501	-6.42359	0.622393
18.1878	-5.77869	0.573558
18.4731	-7.39837	0.544011
18.2839	-6.46405	0.531729
32.3959	-0.699508	8.40738
28.7094	-6.97385	4.50155
27.7016	-6.82151	4.29715
27.7846	-3.70012	4.35587
27.7678	-6.09061	4.28159
26.1701	-7.32963	3.93264
27.1423	-6.08374	4.08588
27.4838	-3.68393	4.15617
26.7885	-7.17621	4.00005
26.0974	-6.61054	3.90675
25.9076	-6.61029	3.80869
25.5865	-6.43192	3.69484
25.1675	-2.7417	3.58187
23.8778	-5.08913	3.23466
23.5548	-6.56425	3.01374
20.3536	-5.06771	1.77779
18.5836	-4.43609	0.56003
20.2608	-1.91517	0.570482
19.1849	-3.89725	0.517712
20.2887	-1.79996	0.532363
20.1969	-1.71894	0.514617
18.7233	-4.20887	0.47782
19.0751	-3.85692	0.479122
18.7557	-4.16143	0.456522
28.9022	6.24957	4.22061
40.1754	11.3694	5.50285
34.6152	9.94058	4.56504
25.6437	4.67238	3.44787
33.8694	9.79273	4.44333
30.9196	7.64422	4.054
25.4046	4.67511	3.3687
23.5677	2.55494	3.11182
23.6445	1.97805	3.09285
24.5389	3.73951	3.04915
26.8528	5.62949	2.52916
25.0866	4.00254	1.24359
18.7709	8.26513	5.72487
18.603	8.35243	5.42044
16.6901	7.45416	4.85669
29.1502	12.281	4.79418
28.1761	-8.89087	4.34125
24.9499	-8.56889	3.64698
24.0495	-8.86453	3.3088
23.2631	-7.19366	2.99139
23.2717	-7.60527	2.96658
22.451	-7.8883	2.75864
10.7274	-3.51911	1.21177
18.3693	-7.70569	0.949488
18.2006	-7.1653	0.726019
18.1459	-5.97878	0.73613
18.6518	-7.61981	0.714796
18.2784	-5.97045	0.705397
18.0918	-7.07666	0.6778
18.4018	-6.71327	0.690408
18.2757	-6.21432	0.672813
18.2845	-5.53824	0.678157
18.287	-5.95748	0.655818
18.2018	-5.44901	0.662248
18.2733	-6.19701	0.639907
18.3501	-6.42359	0.622393
18.1878	-5.77869	0.573558
18.4731	-7.39837	0.544011
18.2839	-6.46405	0.531729
32.3959	-0.699508	8.40738
28.7094	-6.97385	4.50155
27.7016	-6.82151	4.29715
27.7846	-3.70012	4.35587
27.7678	-6.09061	4.28159
26.1701	-7.32963	3.93264
27.1423	-6.08374	4.08588
27.4838	-3.68393	4.15617
26.7885	-7.17621	4.00005
26.0974	-6.61054	3.90675
25.9076	-6.61029	3.80869
25.5865	-6.43192	3.69484
25.1675	-2.7417	3.58187
23.8778	-5.08913	3.23466
23.5548	-6.56425	3.01374
20.3536	-5.06771	1.77779
18.5836	-4.43609	0.56003
20.2608	-1.91517	0.570482
19.1849	-3.89725	0.517712
20.2887	-1.79996	0.532363
20.1969	-1.71894	0.514617
18.7233	-4.20887	0.47782
19.0751	-3.85692	0.479122
18.7557	-4.16143	0.456522
28.9022	6.24957	4.22061
40.1754	11.3694	5.50285
34.6152	9.94058	4.56504
25.6437	4.67238	3.44787
33.8694	9.79273	4.44333
30.9196	7.64422	4.054
25.4046	4.67511	3.3687
23.5677	2.55494	3.11182
23.6445	1.97805	3.09285
24.5389	3.73951	3.04915
26.8528	5.62949	2.52916
25.0866	4.00254	1.24359
18.7709	8.26513	5.72487
18.603	8.35243	5.42044
16.6901	7.45416	4.85669
29.1502	12.281	4.79418
-579.517	203.319	-87.0064
-525.262	161.636	-74.6642
-475.823	185.421	-65.606
