# X	Y	Z	rgb
28.3526	13.0233	3.53044	10723473
54.9362	28.6621	7.59018	12365847
38.8543	18.5128	4.37577	8749181
30.7226	14.4535	1.8089	9079683
33.8985	15.9469	2.44961	8553601
25.5841	11.178	2.68499	7237744
40.5627	19.372	4.50776	5854289
46.5167	26.1307	4.42256	9343120
36.0971	18.5483	5.34321	11968346
47.7172	27.0165	4.7433	10789539
24.6814	10.9894	2.42968	11448493
33.6827	13.4962	3.34315	11711416
28.8187	13.2417	3.582	8881269
49.5404	28.0116	4.72726	13290183
33.864	15.6639	3.95193	5062967
23.7608	10.5562	2.63589	9869464
31.1316	14.4143	3.45473	15196895
40.3814	22.5362	4.35538	11447982
39.4141	21.8197	4.20743	10987428
36.874	17.5637	3.94093	16314865
34.2918	16.1351	2.42588	9211015
39.2559	18.7208	4.37938	8947051
25.4646	11.68	2.93938	2434601
36.1531	17.1612	3.89253	16775158
24.7162	11.0037	2.43957	13619662
39.5726	21.9572	4.23445	11908530
28.6058	13.1404	3.52501	11710845
34.2081	15.8506	3.98378	5062715
23.7284	10.5339	2.64824	9869464
34.0161	13.5875	3.38866	13027276
25.8849	11.3193	2.70708	7237744
39.227	20.1339	5.75162	13349204
34.7894	14.1583	3.33318	4276542
25.4834	11.1977	2.69011	6119263
25.6524	11.4681	2.53112	11184807
43.0274	20.7297	4.28386	2960945
33.4755	15.4709	3.98079	4275511
27.9897	12.85	3.46724	11645318
38.4864	18.3375	4.36778	4538429
36.3105	17.2622	3.91967	15195601
32.0052	14.832	3.55026	14735292
25.9687	11.9184	2.98088	2434601
41.3498	21.2422	6.07795	12748899
45.3191	21.8073	4.65139	2170915
25.9726	11.6031	2.51621	14146006
34.1582	15.8226	3.99713	3485746
27.8253	12.78	3.41329	11711111
25.1445	11.0967	2.66716	5461333
36.0667	17.0984	3.88188	16775925
25.5518	11.7248	2.99376	2368548
29.7612	13.725	3.56098	11774337
24.8099	11.3906	2.94495	1973023
43.331	20.8647	4.3674	3289396
28.3975	11.0853	-0.327956	7631722
32.2809	10.4859	0.808263	8158846
30.4264	9.84879	-1.38058	5790298
36.438	11.9885	0.713337	9934738
33.4469	10.8812	0.716899	7171948
25.3504	11.5656	-0.926759	6514021
34.3032	16.3112	-1.60209	5197647
29.6269	11.6617	0.437839	8092539
28.2301	11.0866	0.45632	12040633
24.3598	9.50868	0.506526	13158600
30.7284	12.1336	0.366598	5460303
29.6131	9.54071	-1.32314	6974318
26.9969	9.44169	-1.18282	6777963
31.9666	12.6637	0.171737	3353892
27.0962	9.41863	-1.19225	5330514
22.2056	10.2832	0.353531	9408913
30.9812	10.1773	-1.50146	7566704
31.5607	12.4879	-0.108944	2105108
30.5689	11.4981	-1.14633	3750201
24.8844	10.243	-1.01776	6120030
36.2426	14.3454	-0.321577	6776415
23.7505	11.3666	0.132031	4342333
23.6543	11.2752	0.133756	1973787
26.5381	10.2714	-0.325224	5723986
58.5377	31.9247	-1.6107	3157030
27.0366	10.4684	-0.356959	5460814
28.114	11.0379	0.463074	12040633
24.2474	9.46269	0.512467	13158600
58.2677	31.7829	-1.6088	3157030
23.4639	11.2052	0.157979	3092268
31.9276	12.6495	-0.0790166	920838
22.1403	10.2552	0.359126	9408913
24.7989	10.2106	-1.01565	6120030
27.1478	9.43523	-1.19147	5001549
31.8342	12.608	0.168719	3353892
26.6465	9.50302	-1.17457	13092807
23.5857	9.20339	0.236443	7893872
29.8955	9.92618	-1.41129	6250330
28.6966	11.2063	-0.335328	7631722
27.1503	9.66844	-1.15364	6381921
36.589	14.4831	-0.339909	6776415
27.1839	9.44173	-1.04517	8422018
30.7096	11.5542	-1.16082	3750201
26.492	9.31698	-1.05096	4868942
31.0729	11.6546	-1.4949	6975342
31.2201	10.2596	-1.37616	6908774
26.4487	11.9758	-1.02417	4539977
57.9396	31.6239	-1.5935	3157030
27.8047	10.9098	0.485503	7368813
32.442	12.8584	0.170025	3353892
27.9236	10.967	0.0421946	10460049
58.9499	33.056	-1.16045	6117711
22.0761	10.2335	0.356219	10132636
23.1649	9.03879	0.267364	9275779
26.4286	9.40435	-1.15322	13158600
31.4543	12.4494	-0.0583095	1775373
25.8961	10.042	-0.277251	7829616
33.4827	13.2586	-0.251165	4671300
28.0517	10.9423	-0.296456	6973792
59.9166	33.5817	-1.35578	7037530
22.1927	10.5273	0.0980111	2104863
27.2238	9.70563	-1.14081	5000528
